,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
13,Īpašnieks pārdod divistabu dzīvokli. Krāsns apkure. Gaze. Ūdens.,Bruņinieku 149,2,36,2/2,Specpr.,441 €,"15,890  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajcxd.html,centre
14,Projekta attīstītājs piedāvā iegādāties unikālu pēc funkcionalit,Antonijas 17A,4,113,3/6,Jaun.,"3,363 €","380,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aagfx.html,centre
15,Инвестиционный объект - прекрасная 1-комнатная квартира-студия с,Lāčplēša 53,1,21,1/5,Renov.,"2,762 €","58,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dokcp.html,centre
16,Projekta attīstītājs piedāvā iegādāties 2 - istabu dzīvokli augs,Antonijas 17A,2,57,4/6,Jaun.,"3,070 €","175,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcbchd.html,centre
17,"Pārdod plašu mansarda dzīvokli ar Tornīti. 
Plašs, saulains dzī",Skolas 38,4,190,6/6,P. kara,"1,263 €","240,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bdpfid.html,centre
18,"Renovēts projekts Miera ielā 5.
Ēka Miera ielā 5 celta 1912.gad",Miera 5,3,77,3/6,P. kara,"1,654 €","127,380  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fgnkn.html,centre
19,"Logi uz sētu, gāzes apkure, saulains, pilnīgi aprīkots. Viss pēc",Maskavas 22,3,47,2/5,P. kara,"1,200 €","56,400  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/exfoj.html,centre
20,"Pārdod 3 istabu dzīvokli renovētā ēkā - Krasta promenādē. 

Pi",Krasta 11,3,69,6/6,Renov.,"1,435 €","99,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajddc.html,centre
21,"Ļoti gaišs un plašs 3-istabu dzīvoklis Rīgas centrā, klusā pagal",Ģertrūdes 113,3,71,6/6,P. kara,"1,293 €","91,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agbff.html,centre
22,Tiek pārdots divistabu dzīvoklis ar visu nepieciešamo sadzīves t,Lugažu 4,2,45,1/5,LT proj.,"1,100 €","49,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dblpf.html,centre
23,Pārdodu vienistabas dzīvokli Centrā. Klusa iekšpagalma māja ar k,Matīsa 82,1,22,2/2,P. kara,359 €,"7,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ebcco.html,centre
24,"Aprīkota virtuve, pilna apdare jaunā dzīvoklī, renovētā fasādes ",Čaka 36,2,48,2/5,Renov.,"2,008 €","96,390  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dfdgb.html,centre
25,Tiek pārdots gaumīgs 3 istabu dzīvoklis renovētā cara laika mājā,Lāčplēša 116,3,67,4/7,Renov.,"1,328 €","89,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/enkeg.html,centre
26,"Pārdošanai tiek piedāvāts plašs dzīvoklis Klusajā centrā, renovē",Rūpniecības 1,2,72,5/6,Renov.,"2,778 €","200,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/feodb.html,centre
27,"Pārdod īpašumu pilsētas centrā, klusā, zaļā vietā, Ieroču ielā. ",Ieroču 10,2,100,1/6,P. kara,500 €,"49,999  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adfoj.html,centre
